country,x,y,technology,capacity,unit,quality,company,location,start year,Latest renovation year,Source,Comments
BR,-44.0701848,-19.9586304,Industry Chemical HVC Steam Cracking,157,Kt/yr,actual,Betim (REGAP) -Petrobras,Betim- Minas Gerais,,,International - U.S. Energy Information Administration (EIA),
BR,-35.0611068,-8.3980773,Industry Chemical HVC Steam Cracking,88,Kt/yr,actual,Abreu e Lima (RNEST) -Petrobras,Ipojuca- Pernambuco,,,International - U.S. Energy Information Administration (EIA),
BR,-46.4905858,-23.654377,Industry Chemical HVC Steam Cracking,57,Kt/yr,actual,Capuava (RECAP) -Petrobras,Capuava- Maua- Sao Paulo,,,International - U.S. Energy Information Administration (EIA),
BR,-59.9615796,-3.01089285,Industry Chemical HVC Steam Cracking,46,Kt/yr,actual,Manaus (REMAN) -Petrobras,Manaus- Amazonas,,,International - U.S. Energy Information Administration (EIA),
BR,-36.3195361,-5.1075611,Industry Chemical HVC Steam Cracking,38,Kt/yr,actual,Potiguar Clara Camarão (RPCC) -Petrobras,Guamaré-Rio Grande do Norte,,,International - U.S. Energy Information Administration (EIA),
BR,-38.4910508,-3.728561,Industry Chemical HVC Steam Cracking,8,Kt/yr,actual,Fortaleza (LUBNOR) -Petrobras,Fortaleza- Ceara,,,International - U.S. Energy Information Administration (EIA),
BR,-52.088586,-32.041539,Industry Chemical HVC Steam Cracking,17,Kt/yr,actual,Refinaria de Petróleo Riograndense S.A.,Riograndense,,,Brazil: oil refining capacity by refinery 2021 | Statista,
BR,-43.236852,-22.8865,Industry Chemical HVC Steam Cracking,14.3,Kt/yr,actual,Refinaria de petroleos de manguinhos sa,Rio de Janeiro,,,Brazil: oil refining capacity by refinery 2021 | Statista,
BR,-50.277183,-21.367152,Industry Chemical HVC Steam Cracking,12.5,Kt/yr,actual,Ssoil energy sa,Coroados,,,Brazil: oil refining capacity by refinery 2021 | Statista,
BR,-47.023269,-23.137659,Industry Chemical HVC Steam Cracking,5.16,Kt/yr,actual,Univen Refinarias Petróleos,Itupeva,,,Brazil: oil refining capacity by refinery 2021 | Statista,
BR,-38.306755,-12.658752,Industry Chemical HVC Steam Cracking,2.09,Kt/yr,actual,Dax Oil Refino SA,Camaçari,2001,,Brazil: oil refining capacity by refinery 2021 | Statista,
BR,-46.589268,-21.844216,Industry Non ferrous metals Aluminium Primary,268,Kt/yr,actual,Alcoa Aluminio SA,Pocos de caldas,,,Alcoa Plans to Restart Aluminum Smelting Capacity at Alumar in Brazil - Light Metal Age Magazine,
BR,-47.262816,-23.535747,Industry Non ferrous metals Aluminium Primary,375,Kt/yr,actual,CBA-Companhia Brasileira De Aluminio,Alumínio,,,CBA increase its primary aluminum production capacity by 25 thousand metric tons by restarting Smelter 3 - CBA Alumínio,
BR,-46.542558,-23.612423,Industry Non ferrous metals Aluminium Primary,28,Kt/yr,actual,Hydro Extrusion Brasil SA,Sau paulo,1978,,Hydro Extrusions Itu,
BR,-43.167779,-22.81204,Industry Non ferrous metals Aluminium Primary,288,Kt/yr,actual,Norsk Hydro Do Brasil Ltd.,Rio de Janeiro,,,Country by country report.pdf (hydro.com),
BR,-43.398001,-9.330139,Industry Mining ,0,Kt/yr,actual,Galvani,Angico dos Dias,,,Radiological_implications_of_using_phosphogypsum_a.pdf,
BR,-41.841649,-11.31331,Industry Mining ,0,Kt/yr,actual,Galvani,Irece,,,Radiological_implications_of_using_phosphogypsum_a.pdf,
BR,-46.731275,-18.163581,Industry Mining ,0,Kt/yr,actual,Galvani,Lagamar,,,Radiological_implications_of_using_phosphogypsum_a.pdf,
BR,-48.123115,-24.706031,Industry Mining ,0,Kt/yr,actual,Mosaic Fertilizantes,Cajati,,,Radiological_implications_of_using_phosphogypsum_a.pdf,
BR,-46.852512,-19.842774,Industry Mining ,0,Kt/yr,actual,Mosaic Fertilizantes,Tapira,,,Radiological_implications_of_using_phosphogypsum_a.pdf,
